"Table 8: Stores Ranked by Total Dollar Sales, RY 2013-14",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rank,City+Address_edit,AvgValueOfTransaction,DollarSales,TransactionCount,Store Number,LicenseeOrFulfillmentCenter,,,,,,,,,
289,Northampton 1910 Ctr St ,26.98,2695096.43,99892.38065,4805 ,0,,,,,,,,,
290,East Rochester Rochester Plz 730 Ohio River Blvd ,29.18,2694148.88,92328.61138,404 ,0,,,,,,,,,
291,Holicong Buckingham Green 4950 Old York Rd ,42.39,2684015.93,63317.1958,933 ,0,,,,,,,,,
292,Pittsburgh 4104 Butler St ,31.91,2673989.05,83797.83924,209 ,0,,,,,,,,,
293,King Of Prussia Valley Forge Shopping Ctr 109 Town Ctr Rd ,26.66,2658163.17,99706.04539,4625 ,0,,,,,,,,,
294,"Bethlehem Bethlehem Sq Sc 3926 Nazareth Pike, ",26.87,2656441.49,98862.72758,4810 ,0,,,,,,,,,
295,Mckees Rocks Kenmawr Plz 510 Pine Hollow Rd ,27.31,2645191.69,96857.98938,9206 ,0,,,,,,,,,
296,Pittsburgh 2947 W Liberty Ave ,29.22,2640164.41,90354.7026,218 ,0,,,,,,,,,
297,Johnstown 1735 Lyter Dr ,31.5,2638443.03,83760.09619,1119 ,0,,,,,,,,,
298,West Chester The Marketplace Shopping Ctr 1502 W Chester Pike ,26.38,2636418.32,99940.04246,1518 ,0,,,,,,,,,
299,Jamison Warwick Sq Shop Ctr 2395 Old York Rd ,32.43,2623980.05,80912.11995,935 ,0,,,,,,,,,
300,"Downingtown Brandywine Village Shopping Ctr 1239 Horseshoe Pike, ",29.03,2616270.65,90122.99862,1521 ,0,,,,,,,,,
301,Peckville Plz 1500 1531 Main St ,29.46,2615288.19,88774.20876,3510 ,0,,,,,,,,,
302,Philadelphia 5235 Frankford Ave ,14.69,2604802.83,177318.096,5145 ,0,,,,,,,,,
303,Denver Muddy Creek Shoppes 2350 N Reading ,32.3,2571651.81,79617.7031,3610 ,0,,,,,,,,,
304,Middletown Midtown Plz 430 E Main St ,25.3,2567473.49,101481.1656,2206 ,0,,,,,,,,,
305,Harrisburg Swatara Sq 6301 Grayson ,25.6,2564604.08,100179.8469,2217 ,0,,,,,,,,,
306,Canonsburg 43 E Pike St ,28.67,2563605.72,89417.7091,6302 ,0,,,,,,,,,
307,Allison Park Hampton Plz 4706 William Flynn ,32.7,2563490.76,78394.21284,285 ,0,,,,,,,,,
308,Exton Marchwood Shopping Ctr 23 Marchwood Rd ,30.41,2552342.54,83931.02729,1515 ,0,,,,,,,,,
309,Childs 529 Main St ,31.81,2548483.95,80115.81107,3504 ,0,,,,,,,,,
310,Bristol Bristol Park 238 Commerce Cir ,23.18,2545295.12,109805.6566,916 ,0,,,,,,,,,
311,Harrisburg Kline Village Shopping Ctr 29 Kline Village ,21.08,2537739.04,120386.1025,2201 ,0,,,,,,,,,
312,Brookhaven 4117 Edgmont Ave ,22.12,2528710.44,114317.8318,2309 ,0,,,,,,,,,
313,Tunkhannock 2 Village Ctr ,30.51,2528575.44,82876.94002,6601 ,0,,,,,,,,,
314,Philadelphia 2807 S Front St ,29.4,2520412.25,85728.30782,5189 ,0,,,,,,,,,
315,Erie 737 E 38th St ,25.55,2514303.47,98407.18082,2511 ,0,,,,,,,,,
316,New Cumberland Fairview Ctr 128 Old York Rd ,26.15,2513614.99,96122.94417,6708 ,0,,,,,,,,,
317,Pittsburgh Shaler ,29.43,2509825.92,85281.20693,264 ,0,,,,,,,,,
318,Pittsburgh 2356 Golden Mile Hwy ,26.96,2507404.93,93004.6339,9213 ,0,,,,,,,,,
319,Berwick 35 Briar Creek Rd ,30.01,2502514.74,83389.36155,1901 ,0,,,,,,,,,
320,"Mountaintop Weis Markets Sc 223 South Mountain Blvd, ",31.05,2497235.27,80426.25668,4035 ,0,,,,,,,,,
321,Uniontown 111 W Fayette St ,32.05,2486502.68,77581.9869,2601 ,0,,,,,,,,,
322,Edinboro Washington Towne Ctr 140 Washington Towne Blvd ,28.89,2481257.31,85886.37279,2518 ,0,,,,,,,,,
323,Yardley Yardley Shopping Ctr 25 S Main St ,37.99,2465035.52,64886.43117,921 ,0,,,,,,,,,
324,White Oak Oak Park Mall 2001 Lincoln Way ,26.8,2446761.22,91297.06045,282 ,0,,,,,,,,,
325,Lancaster 252 N Queen ,19.15,2440790.17,127456.4057,3602 ,0,,,,,,,,,
326,Philadelphia 3250 N Broad St ,17.62,2440384.89,138500.8451,5108 ,0,,,,,,,,,
327,Philadelphia 3521 Cottman Ave ,21.97,2436562.56,110904.0765,5180 ,0,,,,,,,,,
328,Harmony 9 Northgate ,28.03,2435936.67,86904.62611,1002 ,0,,,,,,,,,
329,Sunbury Sunbury Plz 1135 N. 4th St ,30.22,2421987.39,80145.18167,4903 ,0,,,,,,,,,
330,Hanover Grandview Plz Complex 1446 Baltimore ,28.69,2419281.45,84324.90241,6703 ,0,,,,,,,,,
331,Columbia Columbia Shopping Ctr 36 S 18th St ,25.06,2418413.34,96504.92179,3603 ,0,,,,,,,,,
332,Philadelphia 2913 N.22nd St ,16.56,2409467.14,145499.2234,5183 ,0,,,,,,,,,
333,Pottsville 530 Pottsville Park ,27.36,2399561.95,87703.28765,5401 ,0,,,,,,,,,
334,Etters 150 Newberry Commons ,27.96,2391144.2,85520.17883,6702 ,0,,,,,,,,,
335,Huntingdon 7657 Lake Raystown Sc ,28.64,2381237.85,83143.77968,3101 ,0,,,,,,,,,
336,Huntingdon Valley Marketplace At Huntingdon 2080 County Line Rd ,30.08,2377885.23,79052.03557,4642 ,0,,,,,,,,,
337,Mount Joy Mount Joy Sq 921 E Main St ,27.31,2376965.16,87036.4394,3609 ,0,,,,,,,,,
338,Schnecksville 5041 Rt 873 ,27.3,2361319.36,86495.21465,3902 ,0,,,,,,,,,
339,Butler 110 Bon Aire Plz ,27.78,2348588.06,84542.40677,1005 ,0,,,,,,,,,
340,Kittanning Franklin Village Shopping Ctr 13 Franklin Village Mall ,29.17,2337836,80145.21769,308 ,0,,,,,,,,,
341,Pittsburgh Perry Shops 7920 Perry Hwy ,41.27,2328848.76,56429.57984,289 ,0,,,,,,,,,
342,Pittsburgh West View Sc 1012 West View Park Dr ,24.49,2327754.48,95049.18252,234 ,0,,,,,,,,,
343,Meadville 19017 Park Ave Plz ,33.1,2322784.25,70174.75076,2006 ,0,,,,,,,,,
344,Warminster 864 E St Rd ,31.04,2315788.6,74606.59149,923 ,0,,,,,,,,,
