"Table 8: Stores Ranked by Total Dollar Sales, RY 2013-14",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Rank,City+Address_edit,AvgValueOfTransaction,DollarSales,TransactionCount,Store Number,LicenseeOrFulfillmentCenter,,,,,,,,,,,,,,
589,Tionesta 644 Elm St ,$29.42,"$405,878.71",13796.01326,2702 ,0,,,,,,,,,,,,,,
590,Smethport 433 W Main St ,$32.08,"$399,890.65",12465.41926,4203 ,0,,,,,,,,,,,,,,
591,Forest City 605 Main St ,$29.08,"$398,399.13",13700.10763,5801 ,0,,,,,,,,,,,,,,
592,Port Allegany 66 Mill St ,$29.76,"$377,642.09",12689.58636,4204 ,0,,,,,,,,,,,,,,
593,Mercersburg 9 S Main St ,$44.95,"$376,408.13",8373.929477,2804 ,0,,,,,,,,,,,,,,
594,New Bethlehem 452 Broad St ,$31.36,"$363,069.41",11577.46843,1602 ,0,,,,,,,,,,,,,,
595,Marienville 121 Chestnut St ,$32.79,"$338,751.94",10330.95273,2701 ,0,,,,,,,,,,,,,,
596,Galeton 17 West St ,$30.80,"$331,332.26",10757.54091,5302 ,0,,,,,,,,,,,,,,
597,Manchester East Manchester Village Ctr Glen ,$24.65,"$308,172.14",12501.91237,6704 ,0,,,,,,,,,,,,,,
598,Knox 506 Main St ,$41.73,"$303,441.65",7271.546849,1604 ,0,,,,,,,,,,,,,,
599,Ashland 630 Centre St ,$28.11,"$302,537.57",10762.63145,5404 ,0,,,,,,,,,,,,,,
600,Brockway 445 Main St ,$36.77,"$297,332.71",8086.285287,3303 ,0,,,,,,,,,,,,,,
601,Clymer 560 Franklin St ,$37.74,"$291,143.65",7714.458135,3203 ,0,,,,,,,,,,,,,,
602,Houtzdale 821 Centennial St ,$29.43,"$289,943.59",9851.973836,1703 ,0,,,,,,,,,,,,,,
603,Saxton 600 Main St ,$30.67,"$288,720.88",9413.788067,502 ,0,,,,,,,,,,,,,,
604,Frackville 500 W Oak St ,$27.88,"$279,514.05",10025.61155,5405 ,0,,,,,,,,,,,,,,
605,East Conemaugh 513 Chestnut St ,$39.65,"$265,410.21",6693.82623,1107 ,0,,,,,,,,,,,,,,
606,Boswell 212 Ohio St ,$31.13,"$243,840.10",7832.961773,5606 ,0,,,,,,,,,,,,,,
607,Mahanoy City 7 S Main St ,$26.23,"$227,470.96",8672.167747,5406 ,0,,,,,,,,,,,,,,
608,Avonmore P.O. Box 38 ,$32.38,"$221,296.78",6834.366275,6513 ,0,,,,,,,,,,,,,,
609,Curwensville 449 State St ,$28.29,"$203,451.04",7191.623895,1704 ,0,,,,,,,,,,,,,,
610,Sheffield 212 S Main St ,$31.48,"$194,124.55",6166.599428,6202 ,0,,,,,,,,,,,,,,
611,Reynoldsville 410 Main St ,$31.32,"$189,093.45",6037.466475,3305 ,0,,,,,,,,,,,,,,
612,Meyersdale 686 Market Sq ,$46.18,"$184,906.78",4004.044608,5601 ,0,,,,,,,,,,,,,,
613,Snow Shoe 15 W Olive St ,$32.90,"$157,317.36",4781.682675,1403 ,0,,,,,,,,,,,,,,
614,Point Marion 213 Penn St ,$33.52,"$132,894.68",3964.638425,2605 ,0,,,,,,,,,,,,,,
615,Newport 8 Newport Plz ,$28.09,"$88,587.91",3153.716981,5001 ,0,,,,,,,,,,,,,,
616,Wind Gap 15 N Broadway ,$22.87,"$69,463.52",3037.320507,4811 ,0,,,,,,,,,,,,,,
