"Table 8: Stores Ranked by Total Dollar Sales, RY 2013-14",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,City+Address_edit,AvgValueOfTransaction,DollarSales,TransactionCount,Store Number,LicenseeOrFulfillmentCenter,,,store_text,text2,Store Number,LicenseeOrFulfillmentCenter,test,test,test,text,text2,AvgVal_text,AvgValueOfTransaction,DollarSales,TransactionCount,,City+Address,City+Address_edit,
157,Feasterville Southampton Village Sc 162 E Street Rd ,$32.01,"$4,189,475.34",130880.2043,914 ,0,,"914 Feasterville Southampton Village Sc 162 E Street Rd 130,868 $32.01 $4,189,475.34",914 ,"914 Feasterville Southampton Village Sc 162 E Street Rd 130,868 $32.01 $4,189,475.34",914 ,0,,,,"$32.01 $4,189,475.34","$4,189,475.34",$32.01,$32.01,"$4,189,475.34",130880.2043,,Feasterville Southampton Village Sc 162 E Street Rd ,Feasterville Southampton Village Sc 162 E Street Rd ,
158,Philadelphia 3720 Main St ,$29.61,"$4,189,052.80",141474.2587,5111 ,0,,"5111 Philadelphia 3720 Main St 141,461 $29.61 $4,189,052.80",5111 ,"5111 Philadelphia 3720 Main St 141,461 $29.61 $4,189,052.80",5111 ,0,,,,"$29.61 $4,189,052.80","$4,189,052.80",$29.61,$29.61,"$4,189,052.80",141474.2587,,Philadelphia 3720 Main St ,Philadelphia 3720 Main St ,
159,Lancaster Wheatland Shopping Ctr 1761A Columbia Ave ,$28.88,"$4,186,609.62",144965.7071,3617 ,0,,"3617 Lancaster Wheatland Shopping Ctr 1761A Columbia Ave 144,946 $28.88 $4,186,609.62",3617 ,"3617 Lancaster Wheatland Shopping Ctr 1761A Columbia Ave 144,946 $28.88 $4,186,609.62",3617 ,0,,,,"$28.88 $4,186,609.62","$4,186,609.62",$28.88,$28.88,"$4,186,609.62",144965.7071,,Lancaster Wheatland Shopping Ctr 1761A Columbia Ave ,Lancaster Wheatland Shopping Ctr 1761A Columbia Ave ,
160,Warminster Center Point Plz Sc 748 West St Rd ,$27.87,"$4,137,045.38",148440.8102,938 ,0,,"938 Warminster Center Point Plz Sc 748 West St Rd 148,447 $27.87 $4,137,045.38",938 ,"938 Warminster Center Point Plz Sc 748 West St Rd 148,447 $27.87 $4,137,045.38",938 ,0,,,,"$27.87 $4,137,045.38","$4,137,045.38",$27.87,$27.87,"$4,137,045.38",148440.8102,,Warminster Center Point Plz Sc 748 West St Rd ,Warminster Center Point Plz Sc 748 West St Rd ,
161,Douglassville Douglassville Shopping Ctr 180 Old Swede ,$29.71,"$4,079,995.54",137327.349,615 ,0,,"615 Douglassville Douglassville Shopping Ctr 180 Old Swede Rd, Ste #6 137,335 $29.71 $4,079,995.54",615 ,"615 Douglassville Douglassville Shopping Ctr 180 Old Swede Rd, Ste #6 137,335 $29.71 $4,079,995.54",615 ,0,,,,"$29.71 $4,079,995.54","$4,079,995.54",$29.71,$29.71,"$4,079,995.54",137327.349,,Douglassville Douglassville Shopping Ctr 180 Old Swede ,Douglassville Douglassville Shopping Ctr 180 Old Swede ,
162,Newtown Square Newtown Sq Shopping Ctr 42 Alpha Dr ,$31.64,"$4,070,405.35",128647.451,2314 ,0,,"2314 Newtown Square Newtown Sq Shopping Ctr 42 Alpha Dr 128,659 $31.64 $4,070,405.35",2314 ,"2314 Newtown Square Newtown Sq Shopping Ctr 42 Alpha Dr 128,659 $31.64 $4,070,405.35",2314 ,0,,,,"$31.64 $4,070,405.35","$4,070,405.35",$31.64,$31.64,"$4,070,405.35",128647.451,,Newtown Square Newtown Sq Shopping Ctr 42 Alpha Dr ,Newtown Square Newtown Sq Shopping Ctr 42 Alpha Dr ,
163,Lower Burrell Crossroads Plz 2501 Leechburg ,$31.06,"$4,066,730.54",130931.4404,6519 ,0,,"6519 Lower Burrell Crossroads Plz 2501 Leechburg Rd, Ste F 130,937 $31.06 $4,066,730.54",6519 ,"6519 Lower Burrell Crossroads Plz 2501 Leechburg Rd, Ste F 130,937 $31.06 $4,066,730.54",6519 ,0,,,,"$31.06 $4,066,730.54","$4,066,730.54",$31.06,$31.06,"$4,066,730.54",130931.4404,,Lower Burrell Crossroads Plz 2501 Leechburg ,Lower Burrell Crossroads Plz 2501 Leechburg ,
164,Drexel Hill 5035 Township Line Rd ,$28.77,"$4,052,640.46",140863.4154,2331 ,0,,"2331 Drexel Hill 5035 Township Line Rd 140,845 $28.77 $4,052,640.46",2331 ,"2331 Drexel Hill 5035 Township Line Rd 140,845 $28.77 $4,052,640.46",2331 ,0,,,,"$28.77 $4,052,640.46","$4,052,640.46",$28.77,$28.77,"$4,052,640.46",140863.4154,,Drexel Hill 5035 Township Line Rd ,Drexel Hill 5035 Township Line Rd ,
165,Audubon Audubon Village Shopping Ctr 2860 Audubon Vill Dr ,$32.47,"$4,022,850.64",123894.3837,4637 ,0,,"4637 Audubon Audubon Village Shopping Ctr 2860 Audubon Vill Dr 123,889 $32.47 $4,022,850.64",4637 ,"4637 Audubon Audubon Village Shopping Ctr 2860 Audubon Vill Dr 123,889 $32.47 $4,022,850.64",4637 ,0,,,,"$32.47 $4,022,850.64","$4,022,850.64",$32.47,$32.47,"$4,022,850.64",123894.3837,,Audubon Audubon Village Shopping Ctr 2860 Audubon Vill Dr ,Audubon Audubon Village Shopping Ctr 2860 Audubon Vill Dr ,
166,Royersford Park Towne Plz 301 N Lewis ,$26.49,"$4,015,824.22",151597.7433,4611 ,0,,"4611 Royersford Park Towne Plz 301 N Lewis Rd, Ste #170 151,616 $26.49 $4,015,824.22",4611 ,"4611 Royersford Park Towne Plz 301 N Lewis Rd, Ste #170 151,616 $26.49 $4,015,824.22",4611 ,0,,,,"$26.49 $4,015,824.22","$4,015,824.22",$26.49,$26.49,"$4,015,824.22",151597.7433,,Royersford Park Towne Plz 301 N Lewis ,Royersford Park Towne Plz 301 N Lewis ,
167,Camp Hill 3760 Market St ,$32.63,"$4,015,263.65",123054.3564,2107 ,0,,"2107 Camp Hill 3760 Market St 123,039 $32.63 $4,015,263.65",2107 ,"2107 Camp Hill 3760 Market St 123,039 $32.63 $4,015,263.65",2107 ,0,,,,"$32.63 $4,015,263.65","$4,015,263.65",$32.63,$32.63,"$4,015,263.65",123054.3564,,Camp Hill 3760 Market St ,Camp Hill 3760 Market St ,
168,Tannersville R.R.#1 Tannersville Plz 2838 Rt ,$26.92,"$3,998,257.21",148523.6705,4509 ,0,,"4509 Tannersville R.R.#1 Tannersville Plz 2838 Rt 611, Ste 107 148,520 $26.92 $3,998,257.21",4509 ,"4509 Tannersville R.R.#1 Tannersville Plz 2838 Rt 611, Ste 107 148,520 $26.92 $3,998,257.21",4509 ,0,,,,"$26.92 $3,998,257.21","$3,998,257.21",$26.92,$26.92,"$3,998,257.21",148523.6705,,Tannersville R.R.#1 Tannersville Plz 2838 Rt ,Tannersville R.R.#1 Tannersville Plz 2838 Rt ,
169,Murrysville 4610 William Penn Hwy ,$35.94,"$3,990,180.82",111023.3951,6521 ,0,,"6521 Murrysville 4610 William Penn Hwy 111,018 $35.94 $3,990,180.82",6521 ,"6521 Murrysville 4610 William Penn Hwy 111,018 $35.94 $3,990,180.82",6521 ,0,,,,"$35.94 $3,990,180.82","$3,990,180.82",$35.94,$35.94,"$3,990,180.82",111023.3951,,Murrysville 4610 William Penn Hwy ,Murrysville 4610 William Penn Hwy ,
170,Pittsburgh 1130 Perry Hwy #20 Pines Plz ,$44.90,"$3,952,255.49",88023.50757,286 ,0,,"286 Pittsburgh 1130 Perry Hwy #20 Pines Plz 88,026 $44.90 $3,952,255.49",286 ,"286 Pittsburgh 1130 Perry Hwy #20 Pines Plz 88,026 $44.90 $3,952,255.49",286 ,0,,,,"$44.90 $3,952,255.49","$3,952,255.49",$44.90,$44.90,"$3,952,255.49",88023.50757,,Pittsburgh 1130 Perry Hwy #20 Pines Plz ,Pittsburgh 1130 Perry Hwy #20 Pines Plz ,
171,Latrobe 1038 Latrobe 30 ,$32.84,"$3,942,282.46",120045.1419,6523 ,0,,"6523 Latrobe 1038 Latrobe 30 Plz, Ste 311 120,036 $32.84 $3,942,282.46",6523 ,"6523 Latrobe 1038 Latrobe 30 Plz, Ste 311 120,036 $32.84 $3,942,282.46",6523 ,0,,,,"$32.84 $3,942,282.46","$3,942,282.46",$32.84,$32.84,"$3,942,282.46",120045.1419,,Latrobe 1038 Latrobe 30 ,Latrobe 1038 Latrobe 30 ,
172,Glenside 123 S Easton Rd ,$27.63,"$3,940,740.74",142625.4339,4638 ,0,,"4638 Glenside 123 S Easton Rd 142,651 $27.63 $3,940,740.74",4638 ,"4638 Glenside 123 S Easton Rd 142,651 $27.63 $3,940,740.74",4638 ,0,,,,"$27.63 $3,940,740.74","$3,940,740.74",$27.63,$27.63,"$3,940,740.74",142625.4339,,Glenside 123 S Easton Rd ,Glenside 123 S Easton Rd ,
173,Meadville Downtown Mall 900 Water St ,$30.80,"$3,937,112.26",127828.3201,2001 ,0,,"2001 Meadville Downtown Mall 900 Water St 127,832 $30.80 $3,937,112.26",2001 ,"2001 Meadville Downtown Mall 900 Water St 127,832 $30.80 $3,937,112.26",2001 ,0,,,,"$30.80 $3,937,112.26","$3,937,112.26",$30.80,$30.80,"$3,937,112.26",127828.3201,,Meadville Downtown Mall 900 Water St ,Meadville Downtown Mall 900 Water St ,
174,Lansdale Hillcrest Shopping Ctr 644 E Main St ,$26.47,"$3,925,215.91",148289.2297,4627 ,0,,"4627 Lansdale Hillcrest Shopping Ctr 644 E Main St 148,284 $26.47 $3,925,215.91",4627 ,"4627 Lansdale Hillcrest Shopping Ctr 644 E Main St 148,284 $26.47 $3,925,215.91",4627 ,0,,,,"$26.47 $3,925,215.91","$3,925,215.91",$26.47,$26.47,"$3,925,215.91",148289.2297,,Lansdale Hillcrest Shopping Ctr 644 E Main St ,Lansdale Hillcrest Shopping Ctr 644 E Main St ,
175,Philadelphia 2118 Cottman Ave ,$21.53,"$3,920,342.33",182087.4282,5165 ,0,,"5165 Philadelphia 2118 Cottman Ave 182,068 $21.53 $3,920,342.33",5165 ,"5165 Philadelphia 2118 Cottman Ave 182,068 $21.53 $3,920,342.33",5165 ,0,,,,"$21.53 $3,920,342.33","$3,920,342.33",$21.53,$21.53,"$3,920,342.33",182087.4282,,Philadelphia 2118 Cottman Ave ,Philadelphia 2118 Cottman Ave ,
176,Dunmore 70 Keystone Industrial Pk ,$28.60,"$3,916,407.60",136937.3287,3508 ,0,,"3508 Dunmore 70 Keystone Industrial Pk 136,934 $28.60 $3,916,407.60",3508 ,"3508 Dunmore 70 Keystone Industrial Pk 136,934 $28.60 $3,916,407.60",3508 ,0,,,,"$28.60 $3,916,407.60","$3,916,407.60",$28.60,$28.60,"$3,916,407.60",136937.3287,,Dunmore 70 Keystone Industrial Pk ,Dunmore 70 Keystone Industrial Pk ,
177,Bensalem 2223 Galloway Rd ,$28.66,"$3,889,205.46",135701.5164,919 ,0,,"919 Bensalem 2223 Galloway Rd 135,683 $28.66 $3,889,205.46",919 ,"919 Bensalem 2223 Galloway Rd 135,683 $28.66 $3,889,205.46",919 ,0,,,,"$28.66 $3,889,205.46","$3,889,205.46",$28.66,$28.66,"$3,889,205.46",135701.5164,,Bensalem 2223 Galloway Rd ,Bensalem 2223 Galloway Rd ,
178,Pittsburgh 519 Towne Sq Way ,$25.85,"$3,871,997.95",149787.1547,249 ,0,,"249 Pittsburgh 519 Towne Sq Way 149,767 $25.85 $3,871,997.95",249 ,"249 Pittsburgh 519 Towne Sq Way 149,767 $25.85 $3,871,997.95",249 ,0,,,,"$25.85 $3,871,997.95","$3,871,997.95",$25.85,$25.85,"$3,871,997.95",149787.1547,,Pittsburgh 519 Towne Sq Way ,Pittsburgh 519 Towne Sq Way ,
179,Pittsburgh Noble Manor Shopping Ctr 2350 Noblestown Rd ,$27.16,"$3,859,365.84",142097.4168,290 ,0,,"290 Pittsburgh Noble Manor Shopping Ctr 2350 Noblestown Rd 142,075 $27.16 $3,859,365.84",290 ,"290 Pittsburgh Noble Manor Shopping Ctr 2350 Noblestown Rd 142,075 $27.16 $3,859,365.84",290 ,0,,,,"$27.16 $3,859,365.84","$3,859,365.84",$27.16,$27.16,"$3,859,365.84",142097.4168,,Pittsburgh Noble Manor Shopping Ctr 2350 Noblestown Rd ,Pittsburgh Noble Manor Shopping Ctr 2350 Noblestown Rd ,
180,Butler 608 Moraine Pointe Plz ,$30.94,"$3,846,837.18",124332.1648,1003 ,0,,"1003 Butler 608 Moraine Pointe Plz 124,352 $30.94 $3,846,837.18",1003 ,"1003 Butler 608 Moraine Pointe Plz 124,352 $30.94 $3,846,837.18",1003 ,0,,,,"$30.94 $3,846,837.18","$3,846,837.18",$30.94,$30.94,"$3,846,837.18",124332.1648,,Butler 608 Moraine Pointe Plz ,Butler 608 Moraine Pointe Plz ,
181,Pottstown North End Shopping Ctr 1300 N Charlotte St ,$26.20,"$3,839,169.23",146533.1767,4630 ,0,,"4630 Pottstown North End Shopping Ctr 1300 N Charlotte St 146,522 $26.20 $3,839,169.23",4630 ,"4630 Pottstown North End Shopping Ctr 1300 N Charlotte St 146,522 $26.20 $3,839,169.23",4630 ,0,,,,"$26.20 $3,839,169.23","$3,839,169.23",$26.20,$26.20,"$3,839,169.23",146533.1767,,Pottstown North End Shopping Ctr 1300 N Charlotte St ,Pottstown North End Shopping Ctr 1300 N Charlotte St ,
182,Morrisville Pennsbury Plz Sc 229 Plz Blvd #3133 ,$24.19,"$3,813,705.15",157656.2691,906 ,0,,"906 Morrisville Pennsbury Plz Sc 229 Plz Blvd #3133 157,642 $24.19 $3,813,705.15",906 ,"906 Morrisville Pennsbury Plz Sc 229 Plz Blvd #3133 157,642 $24.19 $3,813,705.15",906 ,0,,,,"$24.19 $3,813,705.15","$3,813,705.15",$24.19,$24.19,"$3,813,705.15",157656.2691,,Morrisville Pennsbury Plz Sc 229 Plz Blvd #3133 ,Morrisville Pennsbury Plz Sc 229 Plz Blvd #3133 ,
183,Philadelphia 724 South St ,$28.88,"$3,763,703.55",130322.1451,5119 ,0,,"5119 Philadelphia 724 South St 130,340 $28.88 $3,763,703.55",5119 ,"5119 Philadelphia 724 South St 130,340 $28.88 $3,763,703.55",5119 ,0,,,,"$28.88 $3,763,703.55","$3,763,703.55",$28.88,$28.88,"$3,763,703.55",130322.1451,,Philadelphia 724 South St ,Philadelphia 724 South St ,
184,Dubois 5730 Shaffer Rd ,$31.14,"$3,727,983.31",119716.8693,1702 ,0,,"1702 Dubois 5730 Shaffer Rd 119,727 $31.14 $3,727,983.31",1702 ,"1702 Dubois 5730 Shaffer Rd 119,727 $31.14 $3,727,983.31",1702 ,0,,,,"$31.14 $3,727,983.31","$3,727,983.31",$31.14,$31.14,"$3,727,983.31",119716.8693,,Dubois 5730 Shaffer Rd ,Dubois 5730 Shaffer Rd ,
185,Hazle Township Church Hill Mall 1089 N. Church St. ,$30.62,"$3,669,321.95",119834.159,4033 ,0,,"4033 Hazle Township Church Hill Mall 1089 N. Church St. 119,815 $30.62 $3,669,321.95",4033 ,"4033 Hazle Township Church Hill Mall 1089 N. Church St. 119,815 $30.62 $3,669,321.95",4033 ,0,,,,"$30.62 $3,669,321.95","$3,669,321.95",$30.62,$30.62,"$3,669,321.95",119834.159,,Hazle Township Church Hill Mall 1089 N. Church St. ,Hazle Township Church Hill Mall 1089 N. Church St. ,
186,East Stroudsburg 232 Fox Run ,$25.69,"$3,664,006.81",142623.854,4510 ,0,,"4510 East Stroudsburg 232 Fox Run Ln, Ste 101 142,643 $25.69 $3,664,006.81",4510 ,"4510 East Stroudsburg 232 Fox Run Ln, Ste 101 142,643 $25.69 $3,664,006.81",4510 ,0,,,,"$25.69 $3,664,006.81","$3,664,006.81",$25.69,$25.69,"$3,664,006.81",142623.854,,East Stroudsburg 232 Fox Run ,East Stroudsburg 232 Fox Run ,
187,"Eddystone Eddystone Shopping Ctr 1562 Chester Pike, ",$23.02,"$3,660,680.80",159021.755,2329 ,0,,"2329 Eddystone Eddystone Shopping Ctr 1562 Chester Pike, Unit D-6 159,040 $23.02 $3,660,680.80",2329 ,"2329 Eddystone Eddystone Shopping Ctr 1562 Chester Pike, Unit D-6 159,040 $23.02 $3,660,680.80",2329 ,0,,,,"$23.02 $3,660,680.80","$3,660,680.80",$23.02,$23.02,"$3,660,680.80",159021.755,,"Eddystone Eddystone Shopping Ctr 1562 Chester Pike, ","Eddystone Eddystone Shopping Ctr 1562 Chester Pike, ",
188,Stroudsburg 1060 N 9th St ,$26.25,"$3,657,377.31",139328.6594,4506 ,0,,"4506 Stroudsburg 1060 N 9th St 139,316 $26.25 $3,657,377.31",4506 ,"4506 Stroudsburg 1060 N 9th St 139,316 $26.25 $3,657,377.31",4506 ,0,,,,"$26.25 $3,657,377.31","$3,657,377.31",$26.25,$26.25,"$3,657,377.31",139328.6594,,Stroudsburg 1060 N 9th St ,Stroudsburg 1060 N 9th St ,
189,Lewisburg 334 Market St ,$35.30,"$3,645,080.86",103260.081,6001 ,0,,"6001 Lewisburg 334 Market St 103,267 $35.30 $3,645,080.86",6001 ,"6001 Lewisburg 334 Market St 103,267 $35.30 $3,645,080.86",6001 ,0,,,,"$35.30 $3,645,080.86","$3,645,080.86",$35.30,$35.30,"$3,645,080.86",103260.081,,Lewisburg 334 Market St ,Lewisburg 334 Market St ,
190,Allentown 3300 Lehigh St ,$31.72,"$3,617,062.71",114030.9808,3904 ,0,,"3904 Allentown 3300 Lehigh St 114,026 $31.72 $3,617,062.71",3904 ,"3904 Allentown 3300 Lehigh St 114,026 $31.72 $3,617,062.71",3904 ,0,,,,"$31.72 $3,617,062.71","$3,617,062.71",$31.72,$31.72,"$3,617,062.71",114030.9808,,Allentown 3300 Lehigh St ,Allentown 3300 Lehigh St ,
191,"Pittsburgh N Hills Village, ",$31.73,"$3,612,995.68",113866.8667,292 ,0,,"292 Pittsburgh N Hills Village, Rm 9 4801 Mcknight Rd 113,872 $31.73 $3,612,995.68",292 ,"292 Pittsburgh N Hills Village, Rm 9 4801 Mcknight Rd 113,872 $31.73 $3,612,995.68",292 ,0,,,,"$31.73 $3,612,995.68","$3,612,995.68",$31.73,$31.73,"$3,612,995.68",113866.8667,,"Pittsburgh N Hills Village, ","Pittsburgh N Hills Village, ",
192,Uniontown Fayette Plz Shopping Ctr 619 Pittsburgh Rd ,$40.80,"$3,594,980.90",88112.27696,2610 ,0,,"2610 Uniontown Fayette Plz Shopping Ctr 619 Pittsburgh Rd 88,115 $40.80 $3,594,980.90",2610 ,"2610 Uniontown Fayette Plz Shopping Ctr 619 Pittsburgh Rd 88,115 $40.80 $3,594,980.90",2610 ,0,,,,"$40.80 $3,594,980.90","$3,594,980.90",$40.80,$40.80,"$3,594,980.90",88112.27696,,Uniontown Fayette Plz Shopping Ctr 619 Pittsburgh Rd ,Uniontown Fayette Plz Shopping Ctr 619 Pittsburgh Rd ,
193,Honesdale 1199 Texas-Palmyra ,$32.56,"$3,590,277.20",110266.4988,6404 ,0,,"6404 Honesdale 1199 Texas-Palmyra Hwy, Ste 0 110,282 $32.56 $3,590,277.20",6404 ,"6404 Honesdale 1199 Texas-Palmyra Hwy, Ste 0 110,282 $32.56 $3,590,277.20",6404 ,0,,,,"$32.56 $3,590,277.20","$3,590,277.20",$32.56,$32.56,"$3,590,277.20",110266.4988,,Honesdale 1199 Texas-Palmyra ,Honesdale 1199 Texas-Palmyra ,
194,Kutztown Village Sq Plz 45 Constitution Blvd ,$32.39,"$3,581,281.43",110567.5032,605 ,0,,"605 Kutztown Village Sq Plz 45 Constitution Blvd 110,551 $32.39 $3,581,281.43",605 ,"605 Kutztown Village Sq Plz 45 Constitution Blvd 110,551 $32.39 $3,581,281.43",605 ,0,,,,"$32.39 $3,581,281.43","$3,581,281.43",$32.39,$32.39,"$3,581,281.43",110567.5032,,Kutztown Village Sq Plz 45 Constitution Blvd ,Kutztown Village Sq Plz 45 Constitution Blvd ,
195,Pittsburgh Lebanon Shops 300 Mount Lebanon Blvd ,$28.12,"$3,542,886.51",125991.6967,274 ,0,,"274 Pittsburgh Lebanon Shops 300 Mount Lebanon Blvd 125,987 $28.12 $3,542,886.51",274 ,"274 Pittsburgh Lebanon Shops 300 Mount Lebanon Blvd 125,987 $28.12 $3,542,886.51",274 ,0,,,,"$28.12 $3,542,886.51","$3,542,886.51",$28.12,$28.12,"$3,542,886.51",125991.6967,,Pittsburgh Lebanon Shops 300 Mount Lebanon Blvd ,Pittsburgh Lebanon Shops 300 Mount Lebanon Blvd ,
196,Villanova 789 E Lancaster Ave ,$57.78,"$3,530,530.59",61102.98702,2327 ,0,,"2327 Villanova 789 E Lancaster Ave 61,103 $57.78 $3,530,530.59",2327 ,"2327 Villanova 789 E Lancaster Ave 61,103 $57.78 $3,530,530.59",2327 ,0,,,,"$57.78 $3,530,530.59","$3,530,530.59",$57.78,$57.78,"$3,530,530.59",61102.98702,,Villanova 789 E Lancaster Ave ,Villanova 789 E Lancaster Ave ,
197,Philadelphia 2429 S St ,$29.74,"$3,505,153.14",117859.8904,5143 ,0,,"5143 Philadelphia 2429 S St 117,877 $29.74 $3,505,153.14",5143 ,"5143 Philadelphia 2429 S St 117,877 $29.74 $3,505,153.14",5143 ,0,,,,"$29.74 $3,505,153.14","$3,505,153.14",$29.74,$29.74,"$3,505,153.14",117859.8904,,Philadelphia 2429 S St ,Philadelphia 2429 S St ,
198,"Beaver Falls Chippewa Mall, ",$31.77,"$3,488,646.58",109809.4611,409 ,0,,"409 Beaver Falls Chippewa Mall, Rm 5 & 6 2546 Constitution Blvd 109,818 $31.77 $3,488,646.58",409 ,"409 Beaver Falls Chippewa Mall, Rm 5 & 6 2546 Constitution Blvd 109,818 $31.77 $3,488,646.58",409 ,0,,,,"$31.77 $3,488,646.58","$3,488,646.58",$31.77,$31.77,"$3,488,646.58",109809.4611,,"Beaver Falls Chippewa Mall, ","Beaver Falls Chippewa Mall, ",
199,Coatesville Barley Station Sc 2715 E Lincoln Hwy ,$24.66,"$3,471,025.56",140755.2944,1510 ,0,,"1510 Coatesville Barley Station Sc 2715 E Lincoln Hwy 140,771 $24.66 $3,471,025.56",1510 ,"1510 Coatesville Barley Station Sc 2715 E Lincoln Hwy 140,771 $24.66 $3,471,025.56",1510 ,0,,,,"$24.66 $3,471,025.56","$3,471,025.56",$24.66,$24.66,"$3,471,025.56",140755.2944,,Coatesville Barley Station Sc 2715 E Lincoln Hwy ,Coatesville Barley Station Sc 2715 E Lincoln Hwy ,
200,Allentown Allentown Towne Ctr 4777 Tilghman St ,$30.98,"$3,467,744.51",111934.9422,3919 ,0,,"3919 Allentown Allentown Towne Ctr 4777 Tilghman St 111,938 $30.98 $3,467,744.51",3919 ,"3919 Allentown Allentown Towne Ctr 4777 Tilghman St 111,938 $30.98 $3,467,744.51",3919 ,0,,,,"$30.98 $3,467,744.51","$3,467,744.51",$30.98,$30.98,"$3,467,744.51",111934.9422,,Allentown Allentown Towne Ctr 4777 Tilghman St ,Allentown Allentown Towne Ctr 4777 Tilghman St ,
201,Pittsburgh 1824 Murray Ave ,$26.79,"$3,455,367.01",128979.7316,224 ,0,,"224 Pittsburgh 1824 Murray Ave 128,957 $26.79 $3,455,367.01",224 ,"224 Pittsburgh 1824 Murray Ave 128,957 $26.79 $3,455,367.01",224 ,0,,,,"$26.79 $3,455,367.01","$3,455,367.01",$26.79,$26.79,"$3,455,367.01",128979.7316,,Pittsburgh 1824 Murray Ave ,Pittsburgh 1824 Murray Ave ,
202,Monaca 1476 Brodhead Rd ,$31.71,"$3,454,977.74",108955.4633,414 ,0,,"414 Monaca 1476 Brodhead Rd 108,968 $31.71 $3,454,977.74",414 ,"414 Monaca 1476 Brodhead Rd 108,968 $31.71 $3,454,977.74",414 ,0,,,,"$31.71 $3,454,977.74","$3,454,977.74",$31.71,$31.71,"$3,454,977.74",108955.4633,,Monaca 1476 Brodhead Rd ,Monaca 1476 Brodhead Rd ,
203,Parkesburg West Sadsbury Commons Sc 324 Commons ,$27.55,"$3,453,007.88",125336.0392,1508 ,0,,"1508 Parkesburg West Sadsbury Commons Sc 324 Commons Dr, Ste C-6 125,330 $27.55 $3,453,007.88",1508 ,"1508 Parkesburg West Sadsbury Commons Sc 324 Commons Dr, Ste C-6 125,330 $27.55 $3,453,007.88",1508 ,0,,,,"$27.55 $3,453,007.88","$3,453,007.88",$27.55,$27.55,"$3,453,007.88",125336.0392,,Parkesburg West Sadsbury Commons Sc 324 Commons ,Parkesburg West Sadsbury Commons Sc 324 Commons ,
204,Philadelphia 5 North 12th St ,$19.03,"$3,445,520.62",181057.3106,5105 ,0,,"5105 Philadelphia 5 North 12th St 181,048 $19.03 $3,445,520.62",5105 ,"5105 Philadelphia 5 North 12th St 181,048 $19.03 $3,445,520.62",5105 ,0,,,,"$19.03 $3,445,520.62","$3,445,520.62",$19.03,$19.03,"$3,445,520.62",181057.3106,,Philadelphia 5 North 12th St ,Philadelphia 5 North 12th St ,
205,Blakeslee 248 Rt ,$33.98,"$3,430,880.37",100967.6389,4507 ,0,,"4507 Blakeslee 248 Rt 940, Ste #109 P.O. Box 640 100,968 $33.98 $3,430,880.37",4507 ,"4507 Blakeslee 248 Rt 940, Ste #109 P.O. Box 640 100,968 $33.98 $3,430,880.37",4507 ,0,,,,"$33.98 $3,430,880.37","$3,430,880.37",$33.98,$33.98,"$3,430,880.37",100967.6389,,Blakeslee 248 Rt ,Blakeslee 248 Rt ,
206,Brodheadsville Kinsley Plz 107 Kinsley ,$25.44,"$3,402,002.09",133726.4972,4505 ,0,,"4505 Brodheadsville Kinsley Plz 107 Kinsley Plz, Ste 104 133,751 $25.44 $3,402,002.09",4505 ,"4505 Brodheadsville Kinsley Plz 107 Kinsley Plz, Ste 104 133,751 $25.44 $3,402,002.09",4505 ,0,,,,"$25.44 $3,402,002.09","$3,402,002.09",$25.44,$25.44,"$3,402,002.09",133726.4972,,Brodheadsville Kinsley Plz 107 Kinsley ,Brodheadsville Kinsley Plz 107 Kinsley ,
207,Philadelphia Adams And Tabor Ctr 730 Adams Ave ,$29.74,"$3,401,013.95",114358.2364,9114 ,0,,"9114 Philadelphia Adams And Tabor Ctr 730 Adams Ave 114,376 $29.74 $3,401,013.95",9114 ,"9114 Philadelphia Adams And Tabor Ctr 730 Adams Ave 114,376 $29.74 $3,401,013.95",9114 ,0,,,,"$29.74 $3,401,013.95","$3,401,013.95",$29.74,$29.74,"$3,401,013.95",114358.2364,,Philadelphia Adams And Tabor Ctr 730 Adams Ave ,Philadelphia Adams And Tabor Ctr 730 Adams Ave ,
208,Bethel Park 5249 Library Rd ,$27.41,"$3,391,895.93",123746.6592,296 ,0,,"296 Bethel Park 5249 Library Rd 123,761 $27.41 $3,391,895.93",296 ,"296 Bethel Park 5249 Library Rd 123,761 $27.41 $3,391,895.93",296 ,0,,,,"$27.41 $3,391,895.93","$3,391,895.93",$27.41,$27.41,"$3,391,895.93",123746.6592,,Bethel Park 5249 Library Rd ,Bethel Park 5249 Library Rd ,
209,Philadelphia Roosevelt Plz 6577 Roosevelt Blvd ,$22.57,"$3,382,841.52",149882.2118,9111 ,0,,"9111 Philadelphia Roosevelt Plz 6577 Roosevelt Blvd 149,905 $22.57 $3,382,841.52",9111 ,"9111 Philadelphia Roosevelt Plz 6577 Roosevelt Blvd 149,905 $22.57 $3,382,841.52",9111 ,0,,,,"$22.57 $3,382,841.52","$3,382,841.52",$22.57,$22.57,"$3,382,841.52",149882.2118,,Philadelphia Roosevelt Plz 6577 Roosevelt Blvd ,Philadelphia Roosevelt Plz 6577 Roosevelt Blvd ,
