"Table 8: Stores Ranked by Total Dollar Sales, RY 2013-14",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,City+Address_edit,AvgValueOfTransaction,DollarSales,TransactionCount,Store Number,LicenseeOrFulfillmentCenter,,,store_text,text2,Store Number,LicenseeOrFulfillmentCenter,test,test,test,text,text2,AvgVal_text,AvgValueOfTransaction,DollarSales,TransactionCount,,City+Address,City+Address_edit,
12,Flourtown 1440 Bethlehem Pike ,$48.18,"$12,362,637.09",256592.7167,4623 ,0,,"4623 Flourtown 1440 Bethlehem Pike 256,612 $48.18 $12,362,637.09",4623 ,"4623 Flourtown 1440 Bethlehem Pike 256,612 $48.18 $12,362,637.09",4623 ,0,,,,"$48.18 $12,362,637.09","$12,362,637.09",$48.18,$48.18,"$12,362,637.09",256592.7167,,Flourtown 1440 Bethlehem Pike ,Flourtown 1440 Bethlehem Pike ,
13,Lemoyne West Shore Plz Shopping Ctr 1200 Market St ,$43.82,"$12,204,191.13",278507.3284,2102 ,0,,"2102 Lemoyne West Shore Plz Shopping Ctr 1200 Market St 278,509 $43.82 $12,204,191.13",2102 ,"2102 Lemoyne West Shore Plz Shopping Ctr 1200 Market St 278,509 $43.82 $12,204,191.13",2102 ,0,,,,"$43.82 $12,204,191.13","$12,204,191.13",$43.82,$43.82,"$12,204,191.13",278507.3284,,Lemoyne West Shore Plz Shopping Ctr 1200 Market St ,Lemoyne West Shore Plz Shopping Ctr 1200 Market St ,
14,Doylestown 132 Veterans Ln ,$43.94,"$12,066,874.92",274621.6413,926 ,0,,"926 Doylestown 132 Veterans Ln 274,616 $43.94 $12,066,874.92",926 ,"926 Doylestown 132 Veterans Ln 274,616 $43.94 $12,066,874.92",926 ,0,,,,"$43.94 $12,066,874.92","$12,066,874.92",$43.94,$43.94,"$12,066,874.92",274621.6413,,Doylestown 132 Veterans Ln ,Doylestown 132 Veterans Ln ,
15,1007 Cranberry Twp Cranberry Mall 20111 Rt 19,$50.25,"$11,954,295.56",237896.4291,1007 ,0,,"1007 Cranberry Twp Cranberry Mall, Rm 302A 20111 Rt 19 237,892 $50.25 $11,954,295.56",1007 ,"1007 Cranberry Twp Cranberry Mall, Rm 302A 20111 Rt 19 237,892 $50.25 $11,954,295.56",1007 ,0,,,,"$50.25 $11,954,295.56","$11,954,295.56",$50.25,$50.25,"$11,954,295.56",237896.4291,,"Cranberry Twp Cranberry Mall, ",1007 Cranberry Twp Cranberry Mall 20111 Rt 19,
16,State College 1690 N Atherton St ,$41.59,"$11,732,962.58",282110.1847,1405 ,0,,"1405 State College 1690 N Atherton St 282,108 $41.59 $11,732,962.58",1405 ,"1405 State College 1690 N Atherton St 282,108 $41.59 $11,732,962.58",1405 ,0,,,,"$41.59 $11,732,962.58","$11,732,962.58",$41.59,$41.59,"$11,732,962.58",282110.1847,,State College 1690 N Atherton St ,State College 1690 N Atherton St ,
17,Conshohocken Whitemarsh Shopping Ctr 44 Ridge Pike ,$38.95,"$11,296,116.94",290015.8393,4628 ,0,,"4628 Conshohocken Whitemarsh Shopping Ctr 44 Ridge Pike 290,010 $38.95 $11,296,116.94",4628 ,"4628 Conshohocken Whitemarsh Shopping Ctr 44 Ridge Pike 290,010 $38.95 $11,296,116.94",4628 ,0,,,,"$38.95 $11,296,116.94","$11,296,116.94",$38.95,$38.95,"$11,296,116.94",290015.8393,,Conshohocken Whitemarsh Shopping Ctr 44 Ridge Pike ,Conshohocken Whitemarsh Shopping Ctr 44 Ridge Pike ,
18,Philadelphia 180 W Girard Ave ,$35.20,"$11,176,922.43",317526.2054,5185 ,0,,"5185 Philadelphia 180 W Girard Ave 317,568 $35.20 $11,176,922.43",5185 ,"5185 Philadelphia 180 W Girard Ave 317,568 $35.20 $11,176,922.43",5185 ,0,,,,"$35.20 $11,176,922.43","$11,176,922.43",$35.20,$35.20,"$11,176,922.43",317526.2054,,Philadelphia 180 W Girard Ave ,Philadelphia 180 W Girard Ave ,
19,King Of Prussia 143 S Gulph Rd ,$66.27,"$11,175,794.64",168640.3296,4620 ,0,,"4620 King Of Prussia 143 S Gulph Rd 168,634 $66.27 $11,175,794.64",4620 ,"4620 King Of Prussia 143 S Gulph Rd 168,634 $66.27 $11,175,794.64",4620 ,0,,,,"$66.27 $11,175,794.64","$11,175,794.64",$66.27,$66.27,"$11,175,794.64",168640.3296,,King Of Prussia 143 S Gulph Rd ,King Of Prussia 143 S Gulph Rd ,
20,Newtown 10 W Centre Ave ,$44.98,"$11,054,184.26",245757.7648,909 ,0,,"909 Newtown 10 W Centre Ave 245,761 $44.98 $11,054,184.26",909 ,"909 Newtown 10 W Centre Ave 245,761 $44.98 $11,054,184.26",909 ,0,,,,"$44.98 $11,054,184.26","$11,054,184.26",$44.98,$44.98,"$11,054,184.26",245757.7648,,Newtown 10 W Centre Ave ,Newtown 10 W Centre Ave ,
21,Washington Washington Mall 301 Oak Spring Rd ,$52.30,"$10,871,325.73",207864.7367,6316 ,0,,"6316 Washington Washington Mall 301 Oak Spring Rd 207,849 $52.30 $10,871,325.73",6316 ,"6316 Washington Washington Mall 301 Oak Spring Rd 207,849 $52.30 $10,871,325.73",6316 ,0,,,,"$52.30 $10,871,325.73","$10,871,325.73",$52.30,$52.30,"$10,871,325.73",207864.7367,,Washington Washington Mall 301 Oak Spring Rd ,Washington Washington Mall 301 Oak Spring Rd ,
22,Pittsburgh Robinson Town Centre 1850 Park Manor Blvd ,$44.04,"$10,709,812.16",243183.7457,231 ,0,,"231 Pittsburgh Robinson Town Centre 1850 Park Manor Blvd 243,164 $44.04 $10,709,812.16",231 ,"231 Pittsburgh Robinson Town Centre 1850 Park Manor Blvd 243,164 $44.04 $10,709,812.16",231 ,0,,,,"$44.04 $10,709,812.16","$10,709,812.16",$44.04,$44.04,"$10,709,812.16",243183.7457,,Pittsburgh Robinson Town Centre 1850 Park Manor Blvd ,Pittsburgh Robinson Town Centre 1850 Park Manor Blvd ,
